ReservoirName,RecordTime,WaterStorageRate
新山水庫,2019-06-30,96.61
翡翠水庫,2019-06-30,70.38
寶山第二水庫,2019-06-30,100.0
永和山水庫,2019-06-30,97.02
明德水庫,2019-06-30,96.99
鯉魚潭水庫,2019-06-30,100.0
德基水庫,2019-06-30,82.78
石岡壩,2019-06-30,32.35
霧社水庫,2019-06-30,76.62
日月潭水庫,2019-06-30,92.25
湖山水庫,2019-06-30,100.0
仁義潭水庫,2019-06-30,96.39
白河水庫,2019-06-30,57.74
烏山頭水庫,2019-06-30,91.52
曾文水庫,2019-06-30,74.94
南化水庫,2019-06-30,94.71
阿公店水庫,2019-06-30,2.84
牡丹水庫,2019-06-30,49.96
石門水庫,2019-06-24,96.7
新山水庫,2019-06-24,96.21
翡翠水庫,2019-06-24,71.29
寶山第二水庫,2019-06-24,100.0
永和山水庫,2019-06-24,96.22
明德水庫,2019-06-24,90.73
鯉魚潭水庫,2019-06-24,100.0
德基水庫,2019-06-24,86.55
石岡壩,2019-06-24,18.21
霧社水庫,2019-06-24,79.68
日月潭水庫,2019-06-24,93.24
湖山水庫,2019-06-24,98.21
仁義潭水庫,2019-06-24,96.48
白河水庫,2019-06-24,56.58
烏山頭水庫,2019-06-24,90.82
曾文水庫,2019-06-24,74.12
南化水庫,2019-06-24,95.15
牡丹水庫,2019-06-24,48.06
石門水庫,2019-06-18,98.95
新山水庫,2019-06-18,95.91
翡翠水庫,2019-06-18,75.43
寶山第二水庫,2019-06-18,100.0
永和山水庫,2019-06-18,96.45
明德水庫,2019-06-18,94.16
鯉魚潭水庫,2019-06-18,98.86
德基水庫,2019-06-18,93.32
石岡壩,2019-06-18,25.37
霧社水庫,2019-06-18,84.06
日月潭水庫,2019-06-18,96.05
湖山水庫,2019-06-18,86.8
仁義潭水庫,2019-06-18,95.4
白河水庫,2019-06-18,56.15
烏山頭水庫,2019-06-18,92.23
曾文水庫,2019-06-18,70.25
南化水庫,2019-06-18,100.0
阿公店水庫,2019-06-18,2.75
牡丹水庫,2019-06-18,48.09
石門水庫,2019-06-19,98.47
新山水庫,2019-06-19,95.91
翡翠水庫,2019-06-19,74.77
寶山第二水庫,2019-06-19,100.0
永和山水庫,2019-06-19,96.22
明德水庫,2019-06-19,94.96
鯉魚潭水庫,2019-06-19,100.0
德基水庫,2019-06-19,94.23
石岡壩,2019-06-19,29.45
霧社水庫,2019-06-19,84.9
日月潭水庫,2019-06-19,95.17
湖山水庫,2019-06-19,88.7
仁義潭水庫,2019-06-19,95.67
白河水庫,2019-06-19,56.73
烏山頭水庫,2019-06-19,91.76
曾文水庫,2019-06-19,71.22
南化水庫,2019-06-19,99.62
阿公店水庫,2019-06-19,2.84
牡丹水庫,2019-06-19,48.25
石門水庫,2019-06-25,99.21
新山水庫,2019-06-25,96.41
翡翠水庫,2019-06-25,71.17
